Lake,Parasite,Round,Location,CV
Walsh,Blastulidium,10,Intermediate,0.491399776
Walsh,Blastulidium,11,Intermediate,1.017334563
Walsh,Blastulidium,12,Intermediate,1.095445115
Walsh,Blastulidium,1,Nearshore,NA
Walsh,Blastulidium,2,Nearshore,1.732050808
Walsh,Blastulidium,3,Nearshore,0.916926777
Walsh,Blastulidium,4,Nearshore,0.368708369
Walsh,Blastulidium,5,Nearshore,0.550626451
Walsh,Blastulidium,6,Nearshore,1.115937411
Walsh,Blastulidium,7,Nearshore,0.658333376
Walsh,Blastulidium,8,Nearshore,1.296387228
Walsh,Blastulidium,9,Nearshore,0.920603193
Walsh,Blastulidium,10,Nearshore,1.066000089
Walsh,Blastulidium,11,Nearshore,1.156747135
Walsh,Blastulidium,12,Nearshore,1.857645166
Walsh,Spirobacillus,1,Basin,1.115597639
Walsh,Spirobacillus,2,Basin,0.385862266
Walsh,Spirobacillus,3,Basin,0.376104289
Walsh,Spirobacillus,4,Basin,0.946022656
Walsh,Spirobacillus,5,Basin,0.911830976
Walsh,Spirobacillus,6,Basin,1.029288322
Walsh,Spirobacillus,7,Basin,0.436862688
Walsh,Spirobacillus,8,Basin,1.861820865
Walsh,Spirobacillus,9,Basin,2.343054482
Walsh,Spirobacillus,10,Basin,0.384987652
Walsh,Spirobacillus,11,Basin,0.257517809
Walsh,Spirobacillus,12,Basin,0.358326112
Walsh,Spirobacillus,1,Intermediate,0.138045914
Walsh,Spirobacillus,2,Intermediate,0.890901828
Walsh,Spirobacillus,3,Intermediate,0.742853797
Walsh,Spirobacillus,4,Intermediate,0.561367238
Walsh,Spirobacillus,5,Intermediate,0.666883139
Walsh,Spirobacillus,6,Intermediate,0.808308923
Walsh,Spirobacillus,7,Intermediate,0.24277158
Walsh,Spirobacillus,8,Intermediate,1.385275711
Walsh,Spirobacillus,9,Intermediate,0.91642848
Walsh,Spirobacillus,10,Intermediate,0.187970262
Walsh,Spirobacillus,11,Intermediate,0.991749151
Walsh,Spirobacillus,12,Intermediate,0.546646319
Walsh,Spirobacillus,1,Nearshore,0.887957618
Walsh,Spirobacillus,2,Nearshore,0.102732227
Walsh,Spirobacillus,3,Nearshore,0.083575382
Walsh,Spirobacillus,4,Nearshore,0.839483711
Walsh,Spirobacillus,5,Nearshore,0.73095236
Walsh,Spirobacillus,6,Nearshore,0.843159136
Walsh,Spirobacillus,7,Nearshore,0.227858001
Walsh,Spirobacillus,8,Nearshore,0.180025648
Walsh,Spirobacillus,9,Nearshore,0.626208874
Walsh,Spirobacillus,10,Nearshore,0.491205499
Walsh,Spirobacillus,11,Nearshore,1.0540804
Walsh,Spirobacillus,12,Nearshore,1.9307341
