Lake,Parasite,Depth,CV
Cedar,Pasteuria,3,1.954016842
Cedar,Pasteuria,4,2.679391593
Cedar,Pasteuria,5,1.429814091
Cedar,Pasteuria,6,1.867840145
Cedar,Pasteuria,7,2.366203503
Walsh,Spirobacillus,0,0.622354693
Walsh,Spirobacillus,1,1.477381042
Walsh,Spirobacillus,2,1.272856771
Walsh,Spirobacillus,3,1.339648067
Walsh,Spirobacillus,4,0.735535295
Walsh,Spirobacillus,5,0.74639198
Walsh,Spirobacillus,6,0.924049582
CrookedW,Spirobacillus,0,0.692404738
CrookedW,Spirobacillus,1,0.92277036
CrookedW,Spirobacillus,2,1.022689047
CrookedW,Spirobacillus,3,0.785513058
CrookedW,Spirobacillus,4,1.140564634
CrookedW,Spirobacillus,5,1.249304283
CrookedW,Spirobacillus,6,1.994194228
LilAp,Spirobacillus,0,0.742932293
LilAp,Spirobacillus,1,1.011077401
LilAp,Spirobacillus,2,1.841122652
LilAp,Spirobacillus,3,0.95946475
LilAp,Spirobacillus,4,0.907112508
LilAp,Spirobacillus,5,1.050734709
LilAp,Spirobacillus,6,0.535454245
Mill,Spirobacillus,0,0.898260187
Mill,Spirobacillus,1,1.032723674
Mill,Spirobacillus,2,0.980384932
Mill,Spirobacillus,3,1.452176568
Mill,Spirobacillus,4,1.523421579
Mill,Spirobacillus,5,0.69526126
Mill,Spirobacillus,6,1.121525564
Cedar,Spirobacillus,0,0.782668202
Cedar,Spirobacillus,1,1.976941974
Cedar,Spirobacillus,2,2.04752204
Cedar,Spirobacillus,3,1.789992006
Cedar,Spirobacillus,4,0.705149515
Cedar,Spirobacillus,5,0.909775416
Cedar,Spirobacillus,6,1.624354868
Cedar,Spirobacillus,7,0.805472217
