Lake,Parasite,Round,Locations,CV
Cedar,Blastulidium,9,Intermediate,2.621029237
Cedar,Blastulidium,10,Intermediate,1.750210581
Cedar,Blastulidium,11,Intermediate,0.682174966
Cedar,Blastulidium,12,Intermediate,1.024273127
Cedar,Blastulidium,1,Nearshore,1.699792421
Cedar,Blastulidium,2,Nearshore,1.601637289
Cedar,Blastulidium,3,Nearshore,1.302696006
Cedar,Blastulidium,4,Nearshore,0.985558464
Cedar,Blastulidium,5,Nearshore,0.215751973
Cedar,Blastulidium,6,Nearshore,1.123487024
Cedar,Blastulidium,7,Nearshore,1.958154063
Cedar,Blastulidium,8,Nearshore,1.243403552
Cedar,Blastulidium,9,Nearshore,1.91715632
Cedar,Blastulidium,10,Nearshore,1.981824716
Cedar,Blastulidium,11,Nearshore,0.291176506
Cedar,Blastulidium,12,Nearshore,1.888787891
Cedar,Spirobacillus,1,Basin,0.996199851
Cedar,Spirobacillus,2,Basin,0.60559967
Cedar,Spirobacillus,3,Basin,0.909203575
Cedar,Spirobacillus,4,Basin,0.764751039
Cedar,Spirobacillus,5,Basin,0.735073304
Cedar,Spirobacillus,6,Basin,0.749973297
Cedar,Spirobacillus,7,Basin,1.0308794
Cedar,Spirobacillus,8,Basin,0.496942124
Cedar,Spirobacillus,9,Basin,0.243769257
Cedar,Spirobacillus,10,Basin,0.561313427
Cedar,Spirobacillus,11,Basin,0.117902565
Cedar,Spirobacillus,12,Basin,0.492632998
Cedar,Spirobacillus,1,Intermediate,0.671786229
Cedar,Spirobacillus,2,Intermediate,0.306732491
Cedar,Spirobacillus,3,Intermediate,0.857050738
Cedar,Spirobacillus,4,Intermediate,0.459204594
Cedar,Spirobacillus,5,Intermediate,0.33556241
Cedar,Spirobacillus,6,Intermediate,0.827339433
Cedar,Spirobacillus,7,Intermediate,0.495549644
Cedar,Spirobacillus,8,Intermediate,0.353931605
Cedar,Spirobacillus,9,Intermediate,0.235471211
Cedar,Spirobacillus,10,Intermediate,0.493990208
Cedar,Spirobacillus,11,Intermediate,0.481868233
Cedar,Spirobacillus,12,Intermediate,0.267604665
Cedar,Spirobacillus,1,Nearshore,0.811169136
Cedar,Spirobacillus,2,Nearshore,0.431576371
Cedar,Spirobacillus,3,Nearshore,0.600385238
Cedar,Spirobacillus,4,Nearshore,0.443702694
Cedar,Spirobacillus,5,Nearshore,0.116141336
Cedar,Spirobacillus,6,Nearshore,0.756406471
Cedar,Spirobacillus,7,Nearshore,0.269262924
Cedar,Spirobacillus,8,Nearshore,0.650081862
Cedar,Spirobacillus,9,Nearshore,0.929426172
Cedar,Spirobacillus,10,Nearshore,0.892760188
Cedar,Spirobacillus,11,Nearshore,0.069688656
Cedar,Spirobacillus,12,Nearshore,0.965852878
